date,interval,data_type,key
2026-02-02,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-02.zip
2026-02-02,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-02.zip
2026-02-02,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-02.zip
2026-02-03,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-03.zip
2026-02-03,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-03.zip
2026-02-03,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-03.zip
2026-02-04,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-04.zip
2026-02-04,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-04.zip
2026-02-04,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-04.zip
2026-02-05,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-05.zip
2026-02-05,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-05.zip
2026-02-05,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-05.zip
2026-02-06,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-06.zip
2026-02-06,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-06.zip
2026-02-06,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-06.zip
2026-02-07,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-07.zip
2026-02-07,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-07.zip
2026-02-07,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-07.zip
2026-02-08,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-08.zip
2026-02-08,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-08.zip
2026-02-08,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-08.zip
2026-02-09,daily,aggTrades,data/futures/um/daily/aggTrades/HOODUSDT/HOODUSDT-aggTrades-2026-02-09.zip
2026-02-09,daily,bookDepth,data/futures/um/daily/bookDepth/HOODUSDT/HOODUSDT-bookDepth-2026-02-09.zip
2026-02-09,daily,metrics,data/futures/um/daily/metrics/HOODUSDT/HOODUSDT-metrics-2026-02-09.zip
