date,interval,data_type,key
2025-12-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/USUSDT/USUSDT-aggTrades-2025-12.zip
2025-12-01,monthly,trades,data/futures/um/monthly/trades/USUSDT/USUSDT-trades-2025-12.zip
2025-12-12,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-12.zip
2025-12-12,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-12.zip
2025-12-12,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-12.zip
2025-12-13,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-13.zip
2025-12-13,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-13.zip
2025-12-13,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-13.zip
2025-12-14,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-14.zip
2025-12-14,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-14.zip
2025-12-14,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-14.zip
2025-12-15,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-15.zip
2025-12-15,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-15.zip
2025-12-15,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-15.zip
2025-12-16,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-16.zip
2025-12-16,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-16.zip
2025-12-16,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-16.zip
2025-12-17,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-17.zip
2025-12-17,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-17.zip
2025-12-17,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-17.zip
2025-12-18,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-18.zip
2025-12-18,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-18.zip
2025-12-18,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-18.zip
2025-12-19,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-19.zip
2025-12-19,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-19.zip
2025-12-19,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-19.zip
2025-12-20,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-20.zip
2025-12-20,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-20.zip
2025-12-20,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-20.zip
2025-12-21,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-21.zip
2025-12-21,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-21.zip
2025-12-21,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-21.zip
2025-12-22,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-22.zip
2025-12-22,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-22.zip
2025-12-22,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-22.zip
2025-12-23,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-23.zip
2025-12-23,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-23.zip
2025-12-23,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-23.zip
2025-12-24,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-24.zip
2025-12-24,daily,bookDepth,data/futures/um/daily/bookDepth/USUSDT/USUSDT-bookDepth-2025-12-24.zip
2025-12-24,daily,metrics,data/futures/um/daily/metrics/USUSDT/USUSDT-metrics-2025-12-24.zip
2025-12-25,daily,aggTrades,data/futures/um/daily/aggTrades/USUSDT/USUSDT-aggTrades-2025-12-25.zip
