date,interval,data_type,key
2025-12-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2025-12.zip
2025-12-01,monthly,trades,data/futures/um/monthly/trades/MAGMAUSDT/MAGMAUSDT-trades-2025-12.zip
2025-12-31,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2025-12-31.zip
2025-12-31,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2025-12-31.zip
2025-12-31,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2025-12-31.zip
2026-01-01,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-01.zip
2026-01-01,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-01.zip
2026-01-01,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-01.zip
2026-01-02,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-02.zip
2026-01-02,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-02.zip
2026-01-02,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-02.zip
2026-01-03,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-03.zip
2026-01-03,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-03.zip
2026-01-03,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-03.zip
2026-01-04,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-04.zip
2026-01-04,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-04.zip
2026-01-04,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-04.zip
2026-01-05,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-05.zip
2026-01-05,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-05.zip
2026-01-05,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-05.zip
2026-01-06,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-06.zip
2026-01-06,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-06.zip
2026-01-06,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-06.zip
2026-01-07,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-07.zip
2026-01-07,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-07.zip
2026-01-07,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-07.zip
2026-01-08,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-08.zip
2026-01-08,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-08.zip
2026-01-08,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-08.zip
2026-01-09,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-09.zip
2026-01-09,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-09.zip
2026-01-09,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-09.zip
2026-01-10,daily,aggTrades,data/futures/um/daily/aggTrades/MAGMAUSDT/MAGMAUSDT-aggTrades-2026-01-10.zip
2026-01-10,daily,bookDepth,data/futures/um/daily/bookDepth/MAGMAUSDT/MAGMAUSDT-bookDepth-2026-01-10.zip
2026-01-10,daily,metrics,data/futures/um/daily/metrics/MAGMAUSDT/MAGMAUSDT-metrics-2026-01-10.zip
