date,interval,data_type,key
2026-07-03,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSD1/ETHUSD1-aggTrades-2026-07-03.zip
2026-07-03,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSD1/ETHUSD1-bookDepth-2026-07-03.zip
2026-07-03,daily,metrics,data/futures/um/daily/metrics/ETHUSD1/ETHUSD1-metrics-2026-07-03.zip
2026-07-04,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSD1/ETHUSD1-aggTrades-2026-07-04.zip
2026-07-04,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSD1/ETHUSD1-bookDepth-2026-07-04.zip
2026-07-04,daily,metrics,data/futures/um/daily/metrics/ETHUSD1/ETHUSD1-metrics-2026-07-04.zip
2026-07-05,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSD1/ETHUSD1-aggTrades-2026-07-05.zip
2026-07-05,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSD1/ETHUSD1-bookDepth-2026-07-05.zip
2026-07-05,daily,metrics,data/futures/um/daily/metrics/ETHUSD1/ETHUSD1-metrics-2026-07-05.zip
2026-07-06,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSD1/ETHUSD1-aggTrades-2026-07-06.zip
2026-07-06,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSD1/ETHUSD1-bookDepth-2026-07-06.zip
2026-07-06,daily,metrics,data/futures/um/daily/metrics/ETHUSD1/ETHUSD1-metrics-2026-07-06.zip
2026-07-07,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSD1/ETHUSD1-aggTrades-2026-07-07.zip
2026-07-07,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSD1/ETHUSD1-bookDepth-2026-07-07.zip
2026-07-07,daily,metrics,data/futures/um/daily/metrics/ETHUSD1/ETHUSD1-metrics-2026-07-07.zip
