date,interval,data_type,key
2026-07-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-07.zip
2026-07-01,monthly,trades,data/futures/um/monthly/trades/BITOUSDT/BITOUSDT-trades-2026-07.zip
2026-07-27,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-07-27.zip
2026-07-27,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-07-27.zip
2026-07-27,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-07-27.zip
2026-07-28,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-07-28.zip
2026-07-28,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-07-28.zip
2026-07-28,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-07-28.zip
2026-07-29,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-07-29.zip
2026-07-29,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-07-29.zip
2026-07-29,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-07-29.zip
2026-07-30,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-07-30.zip
2026-07-30,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-07-30.zip
2026-07-30,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-07-30.zip
2026-07-31,daily,aggTrades,data/futures/um/daily/aggTrades/BITOUSDT/BITOUSDT-aggTrades-2026-07-31.zip
2026-07-31,daily,bookDepth,data/futures/um/daily/bookDepth/BITOUSDT/BITOUSDT-bookDepth-2026-07-31.zip
2026-07-31,daily,metrics,data/futures/um/daily/metrics/BITOUSDT/BITOUSDT-metrics-2026-07-31.zip
