date,interval,data_type,key
2026-01-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/INXUSDT/INXUSDT-aggTrades-2026-01.zip
2026-01-01,monthly,trades,data/futures/um/monthly/trades/INXUSDT/INXUSDT-trades-2026-01.zip
2026-01-30,daily,aggTrades,data/futures/um/daily/aggTrades/INXUSDT/INXUSDT-aggTrades-2026-01-30.zip
2026-01-30,daily,bookDepth,data/futures/um/daily/bookDepth/INXUSDT/INXUSDT-bookDepth-2026-01-30.zip
2026-01-30,daily,metrics,data/futures/um/daily/metrics/INXUSDT/INXUSDT-metrics-2026-01-30.zip
2026-01-31,daily,aggTrades,data/futures/um/daily/aggTrades/INXUSDT/INXUSDT-aggTrades-2026-01-31.zip
2026-01-31,daily,bookDepth,data/futures/um/daily/bookDepth/INXUSDT/INXUSDT-bookDepth-2026-01-31.zip
2026-01-31,daily,metrics,data/futures/um/daily/metrics/INXUSDT/INXUSDT-metrics-2026-01-31.zip
2026-02-01,daily,aggTrades,data/futures/um/daily/aggTrades/INXUSDT/INXUSDT-aggTrades-2026-02-01.zip
2026-02-01,daily,bookDepth,data/futures/um/daily/bookDepth/INXUSDT/INXUSDT-bookDepth-2026-02-01.zip
2026-02-01,daily,metrics,data/futures/um/daily/metrics/INXUSDT/INXUSDT-metrics-2026-02-01.zip
2026-02-02,daily,aggTrades,data/futures/um/daily/aggTrades/INXUSDT/INXUSDT-aggTrades-2026-02-02.zip
2026-02-02,daily,bookDepth,data/futures/um/daily/bookDepth/INXUSDT/INXUSDT-bookDepth-2026-02-02.zip
2026-02-02,daily,metrics,data/futures/um/daily/metrics/INXUSDT/INXUSDT-metrics-2026-02-02.zip
2026-02-03,daily,aggTrades,data/futures/um/daily/aggTrades/INXUSDT/INXUSDT-aggTrades-2026-02-03.zip
2026-02-03,daily,bookDepth,data/futures/um/daily/bookDepth/INXUSDT/INXUSDT-bookDepth-2026-02-03.zip
2026-02-03,daily,metrics,data/futures/um/daily/metrics/INXUSDT/INXUSDT-metrics-2026-02-03.zip
