date,interval,data_type,key
2026-03-26,daily,aggTrades,data/futures/um/daily/aggTrades/GOOGLUSDT/GOOGLUSDT-aggTrades-2026-03-26.zip
2026-03-26,daily,bookDepth,data/futures/um/daily/bookDepth/GOOGLUSDT/GOOGLUSDT-bookDepth-2026-03-26.zip
2026-03-26,daily,metrics,data/futures/um/daily/metrics/GOOGLUSDT/GOOGLUSDT-metrics-2026-03-26.zip
2026-03-27,daily,aggTrades,data/futures/um/daily/aggTrades/GOOGLUSDT/GOOGLUSDT-aggTrades-2026-03-27.zip
2026-03-27,daily,bookDepth,data/futures/um/daily/bookDepth/GOOGLUSDT/GOOGLUSDT-bookDepth-2026-03-27.zip
2026-03-27,daily,metrics,data/futures/um/daily/metrics/GOOGLUSDT/GOOGLUSDT-metrics-2026-03-27.zip
2026-03-28,daily,aggTrades,data/futures/um/daily/aggTrades/GOOGLUSDT/GOOGLUSDT-aggTrades-2026-03-28.zip
2026-03-28,daily,bookDepth,data/futures/um/daily/bookDepth/GOOGLUSDT/GOOGLUSDT-bookDepth-2026-03-28.zip
2026-03-28,daily,metrics,data/futures/um/daily/metrics/GOOGLUSDT/GOOGLUSDT-metrics-2026-03-28.zip
2026-03-29,daily,aggTrades,data/futures/um/daily/aggTrades/GOOGLUSDT/GOOGLUSDT-aggTrades-2026-03-29.zip
2026-03-29,daily,bookDepth,data/futures/um/daily/bookDepth/GOOGLUSDT/GOOGLUSDT-bookDepth-2026-03-29.zip
2026-03-29,daily,metrics,data/futures/um/daily/metrics/GOOGLUSDT/GOOGLUSDT-metrics-2026-03-29.zip
